,Timestamp,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
1,09-03-2023 10:00,User_1,Video_Call,-75 dBm,30 ms,10 Mbps,15 Mbps,70%
2,09-03-2023 10:00,User_2,Voice_Call,-80 dBm,20 ms,100 Kbps,120 Kbps,80%
3,09-03-2023 10:00,User_3,Streaming,-85 dBm,40 ms,5 Mbps,6 Mbps,75%
4,09-03-2023 10:00,User_4,Emergency_Service,-70 dBm,10 ms,1 Mbps,1.5 Mbps,90%
5,09-03-2023 10:00,User_5,Online_Gaming,-78 dBm,25 ms,2 Mbps,3 Mbps,85%
6,09-03-2023 10:00,User_6,Background_Download,-90 dBm,50 ms,500 Kbps,550 Kbps,70%
7,09-03-2023 10:00,User_7,Web_Browsing,-88 dBm,30 ms,1 Mbps,1 Mbps,60%
8,09-03-2023 10:00,User_8,IoT_Temperature,-95 dBm,100 ms,10 Kbps,15 Kbps,50%
9,09-03-2023 10:00,User_9,Video_Streaming,-82 dBm,35 ms,3 Mbps,3.5 Mbps,80%
10,09-03-2023 10:00,User_10,File_Download,-75 dBm,45 ms,2 Mbps,2 Mbps,70%
11,09-03-2023 10:00,User_11,Video_Call,-76 dBm,32 ms,12 Mbps,14 Mbps,70%
12,09-03-2023 10:00,User_12,Online_Gaming,-79 dBm,24 ms,2.5 Mbps,2.8 Mbps,75%
13,09-03-2023 10:00,User_13,Web_Browsing,-87 dBm,28 ms,1.2 Mbps,1.2 Mbps,65%
14,09-03-2023 10:00,User_14,VoIP_Call,-81 dBm,22 ms,150 Kbps,170 Kbps,85%
15,09-03-2023 10:00,User_15,Video_Call,-74 dBm,29 ms,10 Mbps,12 Mbps,60%
16,09-03-2023 10:00,User_16,Streaming,-84 dBm,38 ms,4.5 Mbps,5 Mbps,70%
17,09-03-2023 10:00,User_17,Emergency_Service,-69 dBm,9 ms,1.2 Mbps,1.3 Mbps,80%
18,09-03-2023 10:00,User_18,Background_Download,-91 dBm,48 ms,600 Kbps,600 Kbps,55%
19,09-03-2023 10:00,User_19,IoT_Temperature,-96 dBm,105 ms,8 Kbps,9 Kbps,70%
20,09-03-2023 10:00,User_20,Video_Streaming,-83 dBm,34 ms,3.2 Mbps,3.5 Mbps,75%
21,09-03-2023 10:00,User_21,Video_Call,-77 dBm,31 ms,11 Mbps,13 Mbps,75%
22,09-03-2023 10:00,User_22,Online_Gaming,-80 dBm,23 ms,2.2 Mbps,2.5 Mbps,80%
23,09-03-2023 10:00,User_23,Web_Browsing,-86 dBm,29 ms,1.4 Mbps,1.4 Mbps,70%
24,09-03-2023 10:00,User_24,VoIP_Call,-82 dBm,21 ms,160 Kbps,180 Kbps,90%
25,09-03-2023 10:00,User_25,Video_Call,-73 dBm,28 ms,10.5 Mbps,12.5 Mbps,75%
26,09-03-2023 10:00,User_26,Streaming,-83 dBm,37 ms,4.2 Mbps,4.8 Mbps,85%
27,09-03-2023 10:00,User_27,Emergency_Service,-68 dBm,8 ms,1.1 Mbps,1.2 Mbps,70%
28,09-03-2023 10:00,User_28,Background_Download,-92 dBm,47 ms,620 Kbps,620 Kbps,60%
29,09-03-2023 10:00,User_29,IoT_Temperature,-97 dBm,110 ms,7 Kbps,8 Kbps,65%
30,09-03-2023 10:00,User_30,Video_Streaming,-84 dBm,33 ms,3.4 Mbps,3.7 Mbps,70%
31,09-03-2023 10:00,User_31,Video_Call,-78 dBm,30 ms,10.2 Mbps,12.2 Mbps,75%
32,09-03-2023 10:00,User_32,Online_Gaming,-79 dBm,24 ms,2.3 Mbps,2.6 Mbps,80%
33,09-03-2023 10:00,User_33,Web_Browsing,-88 dBm,27 ms,1.3 Mbps,1.3 Mbps,70%
34,09-03-2023 10:00,User_34,VoIP_Call,-83 dBm,20 ms,170 Kbps,190 Kbps,90%
35,09-03-2023 10:00,User_35,Video_Call,-72 dBm,27 ms,10.8 Mbps,12.8 Mbps,75%
36,09-03-2023 10:00,User_36,Streaming,-82 dBm,36 ms,4.0 Mbps,4.6 Mbps,85%
37,09-03-2023 10:00,User_37,Emergency_Service,-67 dBm,7 ms,1.0 Mbps,1.1 Mbps,70%
38,09-03-2023 10:00,User_38,Background_Download,-93 dBm,46 ms,630 Kbps,630 Kbps,60%
39,09-03-2023 10:00,User_39,IoT_Temperature,-98 dBm,105 ms,6 Kbps,7 Kbps,65%
40,09-03-2023 10:00,User_40,Video_Streaming,-85 dBm,32 ms,3.5 Mbps,3.8 Mbps,70%
41,09-03-2023 10:00,User_41,Video_Call,-79 dBm,29 ms,10.5 Mbps,12.3 Mbps,70%
42,09-03-2023 10:00,User_42,Online_Gaming,-78 dBm,25 ms,2.4 Mbps,2.7 Mbps,75%
43,09-03-2023 10:00,User_43,Web_Browsing,-87 dBm,28 ms,1.2 Mbps,1.2 Mbps,70%
44,09-03-2023 10:00,User_44,VoIP_Call,-84 dBm,20 ms,165 Kbps,185 Kbps,90%
45,09-03-2023 10:00,User_45,Video_Call,-71 dBm,26 ms,10.2 Mbps,12.6 Mbps,80%
46,09-03-2023 10:00,User_46,Streaming,-81 dBm,35 ms,3.8 Mbps,4.4 Mbps,85%
47,09-03-2023 10:00,User_47,Emergency_Service,-66 dBm,7 ms,1.1 Mbps,1.2 Mbps,70%
48,09-03-2023 10:00,User_48,Background_Download,-94 dBm,45 ms,640 Kbps,640 Kbps,60%
49,09-03-2023 10:00,User_49,IoT_Temperature,-99 dBm,104 ms,5 Kbps,6 Kbps,65%
50,09-03-2023 10:00,User_50,Video_Streaming,-86 dBm,31 ms,3.6 Mbps,3.9 Mbps,70%
51,09-03-2023 10:01,User_51,Video_Call,-80 dBm,30 ms,11 Mbps,12.5 Mbps,80%
52,09-03-2023 10:01,User_52,Online_Gaming,-77 dBm,24 ms,2.6 Mbps,2.9 Mbps,85%
53,09-03-2023 10:01,User_53,Web_Browsing,-89 dBm,27 ms,1.1 Mbps,1.1 Mbps,70%
54,09-03-2023 10:01,User_54,VoIP_Call,-85 dBm,21 ms,160 Kbps,190 Kbps,90%
55,09-03-2023 10:01,User_55,Video_Call,-70 dBm,27 ms,10.7 Mbps,12.3 Mbps,75%
56,09-03-2023 10:01,User_56,Streaming,-80 dBm,35 ms,4.1 Mbps,4.7 Mbps,85%
57,09-03-2023 10:01,User_57,Emergency_Service,-65 dBm,8 ms,1.0 Mbps,1.1 Mbps,70%
58,09-03-2023 10:01,User_58,Background_Download,-95 dBm,46 ms,650 Kbps,650 Kbps,60%
59,09-03-2023 10:01,User_59,IoT_Temperature,-100 dBm,103 ms,4 Kbps,5 Kbps,75%
60,09-03-2023 10:01,User_60,Video_Streaming,-87 dBm,32 ms,3.7 Mbps,4.0 Mbps,70%
61,09-03-2023 10:01,User_61,Video_Call,-81 dBm,29 ms,10.3 Mbps,12.1 Mbps,70%
62,09-03-2023 10:01,User_62,Online_Gaming,-76 dBm,23 ms,2.7 Mbps,3.0 Mbps,80%
63,09-03-2023 10:01,User_63,Web_Browsing,-90 dBm,26 ms,1.0 Mbps,1.0 Mbps,70%
64,09-03-2023 10:01,User_64,VoIP_Call,-86 dBm,20 ms,155 Kbps,180 Kbps,90%
65,09-03-2023 10:01,User_65,Video_Call,-69 dBm,26 ms,10.9 Mbps,12.4 Mbps,75%
66,09-03-2023 10:01,User_66,Streaming,-79 dBm,34 ms,4.3 Mbps,4.9 Mbps,85%
67,09-03-2023 10:01,User_67,Emergency_Service,-64 dBm,7 ms,1.0 Mbps,1.1 Mbps,70%
68,09-03-2023 10:01,User_68,Background_Download,-96 dBm,45 ms,660 Kbps,660 Kbps,60%
69,09-03-2023 10:01,User_69,IoT_Temperature,-101 dBm,102 ms,3 Kbps,4 Kbps,75%
70,09-03-2023 10:01,User_70,Video_Streaming,-88 dBm,31 ms,3.8 Mbps,4.1 Mbps,70%
71,09-03-2023 10:01,User_71,Video_Call,-82 dBm,28 ms,10.7 Mbps,12.2 Mbps,70%
